year,respondent_id,weight,gender,age,education,income_quintile,employment_status,area_type,has_account,has_bank_account,has_mobile_money,has_digital_account,did_save,did_borrow,owns_mobile_phone,uses_internet,receives_pension,receives_remittances,any_digital_payment
2017,208005029,0.290594591450477,Female,28.0,Secondary,5,1,,1,1,1,,1,1,1.0,,4,5.0,
2017,129699622,2.78220033334623,Male,33.0,Primary or less,5,1,,0,0,0,,0,0,1.0,,4,2.0,
2017,128529800,1.42226065099913,Female,20.0,Secondary,5,1,,0,0,0,,1,0,1.0,,4,5.0,
2017,144955245,0.388995958429668,Female,23.0,Secondary,5,1,,1,1,1,,1,1,1.0,,4,1.0,
2017,116417975,0.752075932341435,Male,59.0,Primary or less,4,1,,0,0,0,,1,0,1.0,,4,5.0,
2017,182291120,1.41462187200898,Male,47.0,Primary or less,3,1,,0,0,0,,0,0,0.0,,4,5.0,
2017,182621848,1.36968157470837,Male,23.0,Primary or less,4,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,131301173,0.774841276470409,Male,24.0,Primary or less,5,1,,0,0,0,,1,1,1.0,,4,5.0,
2017,156578117,0.290594591450477,Female,27.0,Secondary,1,1,,1,1,0,,1,0,1.0,,4,5.0,
2017,177032881,0.424041666140829,Male,27.0,Secondary,5,1,,1,0,1,,1,1,1.0,,4,1.0,
2017,182976233,0.418549180334234,Female,29.0,Primary or less,2,1,,0,0,0,,0,1,1.0,,4,5.0,
2017,166256620,0.983664398299852,Female,53.0,Primary or less,3,1,,0,0,0,,1,1,0.0,,4,2.0,
2017,134091644,0.86732347623627,Female,22.0,Secondary,3,1,,1,0,1,,1,1,1.0,,4,1.0,
2017,112875896,0.646473084395465,Male,28.0,Secondary,2,0,,0,0,0,,1,1,1.0,,4,3.0,
2017,137221352,1.56933927526011,Female,44.0,,3,1,,0,0,0,,1,0,1.0,,4,5.0,
2017,152733909,0.340512489179533,Male,27.0,Secondary,5,1,,1,1,1,,1,1,1.0,,4,1.0,
2017,167776261,2.43371622388448,Female,40.0,Primary or less,4,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,141474709,0.301625591731548,Female,22.0,Secondary,5,0,,0,0,0,,1,0,1.0,,4,2.0,
2017,185510495,0.546871680839914,Male,28.0,Secondary,4,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,162089640,0.332660487133329,Female,39.0,Secondary,5,0,,1,1,0,,0,1,1.0,,1,1.0,
2017,129283433,0.872553331758419,Female,66.0,Primary or less,5,1,,0,0,0,,1,1,1.0,,4,5.0,
2017,135195193,0.608429055971121,Female,42.0,Primary or less,2,1,,1,1,1,,1,1,1.0,,4,5.0,
2017,116539767,1.11700535400161,Female,27.0,Primary or less,5,1,,0,0,0,,0,0,0.0,,4,5.0,
2017,113817985,1.50480394033675,Male,34.0,Secondary,2,1,,1,1,0,,1,0,1.0,,4,1.0,
2017,208414743,2.78220033334623,Female,57.0,Primary or less,5,0,,0,0,0,,0,0,1.0,,4,3.0,
2017,205486666,0.593738923279351,Male,62.0,Secondary,5,0,,1,1,1,,1,1,1.0,,1,1.0,
2017,179685419,0.80319070592211,Male,32.0,Primary or less,5,1,,0,0,0,,1,1,1.0,,4,3.0,
2017,121557366,0.388995958429668,Female,19.0,Secondary,3,1,,0,0,0,,1,0,1.0,,4,5.0,
2017,135837053,0.290594591450477,Female,32.0,Secondary,4,1,,1,1,1,,1,0,1.0,,1,1.0,
2017,197729427,1.18918082275478,Female,30.0,Primary or less,3,0,,0,0,0,,0,1,1.0,,4,5.0,
2017,200305907,1.4497210323112,Male,28.0,Secondary,2,0,,1,1,0,,1,1,1.0,,4,1.0,
2017,208461153,0.290594591450477,Male,29.0,Tertiary+,4,1,,1,1,1,,1,1,1.0,,3,1.0,
2017,142885331,0.546871680839914,Male,30.0,Secondary,1,1,,0,0,0,,1,0,1.0,,4,4.0,
2017,125768356,1.49396794244037,Female,30.0,Primary or less,3,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,204675289,0.693530935483499,Female,36.0,Primary or less,1,1,,0,0,0,,1,0,1.0,,4,2.0,
2017,207066660,0.323236542197733,Male,25.0,Secondary,3,1,,1,1,0,,0,1,1.0,,4,1.0,
2017,152118415,1.83105943854804,Male,30.0,Primary or less,3,0,,0,0,0,,0,1,1.0,,4,5.0,
2017,114176124,0.68605092692134,Female,70.0,Primary or less,4,0,,1,1,1,,0,1,1.0,,4,1.0,
2017,155212068,0.380269960139007,Female,27.0,Secondary,4,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,122060164,1.0215374675386,Male,27.0,Secondary,3,0,,0,0,0,,0,0,1.0,,4,5.0,
2017,207821099,0.593738923279351,Male,57.0,Secondary,2,1,,0,0,0,,1,1,0.0,,4,2.0,
2017,116757530,1.18918082275478,Female,26.0,Primary or less,2,0,,0,0,0,,0,0,1.0,,4,5.0,
2017,128845099,1.53436256512842,Female,15.0,Primary or less,5,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,210345473,1.1359648198477,Male,50.0,Primary or less,2,0,,0,0,0,,0,0,1.0,,4,2.0,
2017,207670347,0.699438858778089,Male,16.0,Primary or less,3,1,,0,0,0,,0,1,1.0,,4,5.0,
2017,169765406,2.78220033334623,Female,43.0,Primary or less,3,0,,1,1,0,,1,0,0.0,,4,5.0,
2017,205355365,0.290594591450477,Female,51.0,Secondary,4,1,,0,0,0,,1,1,0.0,,4,3.0,
2017,159985748,1.9673287965997,Female,45.0,Primary or less,2,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,192202363,1.50415186468287,Male,75.0,Primary or less,2,1,,0,0,0,,0,0,0.0,,4,5.0,
2017,115882894,0.290594591450477,Female,28.0,Secondary,4,0,,0,0,0,,0,0,1.0,,4,5.0,
2017,170530444,0.417024263742977,Female,48.0,Secondary,1,0,,0,0,0,,0,0,1.0,,4,5.0,
2017,174963495,1.12410670275794,Male,28.0,Secondary,5,1,,1,1,0,,1,1,1.0,,4,5.0,
2017,183003882,0.290594591450477,Male,25.0,Secondary,5,1,,1,1,1,,1,1,1.0,,4,1.0,
2017,179493232,1.1359648198477,Male,50.0,Primary or less,2,0,,0,0,0,,0,0,1.0,,4,5.0,
2017,178376684,0.86732347623627,Female,19.0,Secondary,4,1,,0,0,0,,1,1,1.0,,4,4.0,
2017,180668594,0.312661288581066,Female,28.0,Secondary,4,1,,1,0,1,,1,1,1.0,,4,1.0,
2017,176604215,0.339543966413068,Male,43.0,Secondary,4,1,,0,0,0,,1,1,1.0,,4,3.0,
2017,173719509,0.565535208447619,Male,41.0,Primary or less,4,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,168097063,1.49775535993357,Male,18.0,Secondary,1,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,120039912,0.589718989408978,Female,27.0,Secondary,2,0,,0,0,0,,1,1,1.0,,4,2.0,
2017,176353109,1.5827078729492,Male,15.0,Secondary,1,0,,0,0,0,,0,0,1.0,,4,3.0,
2017,151464386,1.58470617134833,Female,53.0,Primary or less,5,0,,1,1,0,,0,0,1.0,,4,5.0,
2017,121404070,0.650492607177202,Female,20.0,Secondary,4,0,,0,0,0,,1,1,1.0,,4,5.0,
2017,161857548,2.78220033334623,Male,53.0,Primary or less,1,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,168686495,0.394949411258007,Female,51.0,Primary or less,4,1,,0,0,0,,1,1,0.0,,4,5.0,
2017,178916421,0.39100494664711,Female,78.0,Primary or less,2,1,,0,0,0,,0,0,0.0,,4,5.0,
2017,159158702,1.04591952676629,Female,55.0,Primary or less,5,1,,1,0,1,,0,0,1.0,,4,1.0,
2017,207387247,0.807552126200204,Female,16.0,Secondary,3,1,,0,0,0,,0,1,0.0,,4,2.0,
2017,171746810,0.290594591450477,Male,45.0,Secondary,5,0,,1,1,0,,1,0,1.0,,4,5.0,
2017,134433855,0.931755864214518,Male,20.0,Secondary,2,1,,1,1,1,,1,1,1.0,,4,5.0,
2017,130455200,0.482923195402397,Male,27.0,Secondary,4,0,,1,1,1,,1,1,1.0,,4,1.0,
2017,150216729,0.568904260399652,Female,23.0,Secondary,4,1,,1,0,1,,1,0,1.0,,4,5.0,
2017,181504184,0.577775682799817,Male,49.0,Secondary,4,0,,1,1,0,,1,0,1.0,,4,5.0,
2017,190580011,0.665320974266658,Female,42.0,Secondary,5,0,,0,0,0,,1,0,1.0,,4,5.0,
2017,166447497,0.290594591450477,Female,23.0,Secondary,3,1,,0,0,0,,0,0,0.0,,4,5.0,
2017,155764226,1.1378085207993,Female,24.0,Secondary,4,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,163452283,0.757769015454313,Female,52.0,Secondary,3,1,,0,0,0,,0,1,1.0,,4,2.0,
2017,117998546,0.792787215169855,Female,32.0,Primary or less,2,0,,0,0,0,,0,1,1.0,,4,2.0,
2017,140419448,1.55913790530502,Male,19.0,Secondary,2,1,,1,0,1,,1,1,1.0,,4,2.0,
2017,138035448,0.476782200505462,Male,56.0,Secondary,1,1,,0,0,0,,0,0,0.0,,4,5.0,
2017,210543190,0.380269960139007,Female,26.0,Secondary,1,1,,1,1,0,,1,0,1.0,,4,5.0,
2017,127542360,1.98196803792464,Female,28.0,Primary or less,1,1,,0,0,0,,0,0,0.0,,4,5.0,
2017,131471031,0.483353006429382,Male,33.0,Secondary,2,1,,0,0,0,,0,0,1.0,,4,3.0,
2017,123888656,2.74969253983874,Male,19.0,Primary or less,2,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,132028463,0.504152898004355,Female,30.0,Secondary,5,0,,0,0,0,,0,1,1.0,,4,5.0,
2017,158584276,0.290594591450477,Female,20.0,Secondary,2,0,,0,0,0,,1,1,1.0,,4,5.0,
2017,149927304,0.762440717323398,Male,33.0,Primary or less,5,1,,1,1,0,,1,1,1.0,,4,1.0,
2017,128508733,1.92982634299775,Male,23.0,Primary or less,5,1,,1,1,1,,0,1,0.0,,4,2.0,
2017,187720312,0.418277151480107,Male,65.0,Secondary,5,1,,1,1,0,,0,0,1.0,,1,1.0,
2017,147439395,0.589718989408978,Female,28.0,Secondary,3,1,,0,0,0,,0,0,0.0,,4,5.0,
2017,209985772,1.18918082275478,Female,25.0,Primary or less,2,1,,0,0,0,,1,1,1.0,,4,3.0,
2017,129121298,0.482923195402397,Male,34.0,Secondary,5,0,,1,1,0,,1,1,1.0,,4,2.0,
2017,134213979,0.403228310029124,Female,26.0,Secondary,5,1,,1,0,1,,1,0,1.0,,4,1.0,
2017,158175184,0.51588667749841,Female,38.0,Secondary,3,1,,1,0,1,,1,1,1.0,,4,1.0,
2017,198412382,0.290594591450477,Female,39.0,Secondary,3,1,,1,1,0,,1,0,1.0,,4,1.0,
2017,170438156,2.78220033334623,Male,46.0,Primary or less,1,0,,0,0,0,,1,0,1.0,,4,5.0,
2017,168710814,0.314792604896963,Male,67.0,Secondary,3,1,,1,1,0,,1,0,1.0,,1,1.0,
2017,182246111,0.720618415396994,Female,22.0,Primary or less,1,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,165607307,1.20838251607345,Male,27.0,Secondary,2,1,,0,0,0,,0,1,0.0,,4,2.0,
2017,149456238,1.12382073641315,Female,27.0,Secondary,4,1,,0,0,0,,1,1,1.0,,4,5.0,
2017,199085897,1.08415434529534,Female,17.0,Secondary,1,0,,0,0,0,,1,1,0.0,,4,2.0,
2017,204433372,1.11700535400161,Female,28.0,Primary or less,4,0,,0,0,0,,0,1,1.0,,4,5.0,
2017,165124679,1.40526383622488,Male,40.0,Primary or less,3,0,,0,0,0,,0,0,0.0,,4,5.0,
2017,119226131,1.59050090547547,Female,29.0,Primary or less,3,0,,0,0,0,,0,1,1.0,,4,5.0,
2017,195206704,0.290594591450477,Male,66.0,Secondary,2,1,,0,0,0,,0,0,0.0,,4,5.0,
2017,199186495,0.818149372114529,Male,15.0,Secondary,5,1,,1,0,1,,1,1,1.0,,4,1.0,
2017,128854734,1.08415434529534,Female,23.0,Secondary,3,1,,1,1,0,,1,1,1.0,,4,5.0,
2017,153556881,0.39100494664711,Female,65.0,Primary or less,4,0,,0,0,0,,0,0,0.0,,4,5.0,
2017,166704822,1.00021683782785,Male,32.0,Primary or less,4,1,,1,1,0,,1,1,1.0,,4,5.0,
2017,122516900,2.10789575433732,Male,40.0,Primary or less,2,1,,0,0,0,,0,1,1.0,,4,2.0,
2017,125847593,0.87101421670183,Male,23.0,Primary or less,5,1,,1,1,0,,1,1,1.0,,1,1.0,
2017,151672911,0.881355664741043,Female,47.0,Secondary,4,1,,0,0,0,,1,0,1.0,,4,2.0,
2017,174103904,0.290594591450477,Female,23.0,Secondary,5,1,,0,0,0,,1,0,0.0,,4,5.0,
2017,148836582,0.520735842588499,Female,19.0,Primary or less,2,1,,0,0,0,,1,0,1.0,,4,5.0,
2017,174904465,0.290594591450477,Female,29.0,Secondary,5,1,,1,0,1,,1,0,1.0,,4,1.0,
2017,196499860,2.00095137945451,Male,36.0,Primary or less,3,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,182031486,1.12461963764616,Male,60.0,Primary or less,2,1,,0,0,0,,0,0,0.0,,4,5.0,
2017,130384967,0.290594591450477,Female,30.0,Secondary,2,0,,0,0,0,,0,0,1.0,,4,5.0,
2017,154125268,1.04029640322525,Female,36.0,Primary or less,2,0,,0,0,0,,0,1,1.0,,4,2.0,
2017,112849538,1.08415434529534,Female,17.0,Secondary,2,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,156958826,1.67074236828816,Female,40.0,Primary or less,5,1,,0,0,0,,1,1,1.0,,4,5.0,
2017,124763693,0.323236542197733,Male,28.0,Secondary,2,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,192365157,1.52752994130909,Female,19.0,Primary or less,1,0,,0,0,0,,1,1,1.0,,4,2.0,
2017,200315243,1.5296099749222,Female,16.0,Primary or less,3,0,,0,0,0,,0,0,0.0,,4,5.0,
2017,142064447,1.30183960647125,Female,17.0,Primary or less,1,0,,0,0,0,,0,0,0.0,,4,5.0,
2017,184095979,0.472207192645379,Female,36.0,Primary or less,2,1,,1,1,0,,1,1,1.0,,4,5.0,
2017,133732215,0.448004480345014,Male,53.0,Secondary,5,1,,1,1,1,,1,0,0.0,,4,1.0,
2017,182660917,1.36628192786817,Male,31.0,Secondary,3,1,,1,1,1,,1,1,1.0,,4,1.0,
2017,115759633,2.43460070209244,Female,71.0,Primary or less,3,1,,0,0,0,,0,0,0.0,,4,4.0,
2017,196578073,0.7648049874611,Female,20.0,Primary or less,1,0,,0,0,0,,0,1,1.0,,4,3.0,
2017,126348687,0.86732347623627,Female,18.0,Secondary,1,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,134624475,1.69771983206534,Male,43.0,Secondary,4,1,,1,1,0,,1,1,1.0,,4,1.0,
2017,124647160,1.52752994130909,Female,18.0,Secondary,2,1,,0,0,0,,1,1,0.0,,4,4.0,
2017,141823445,0.296869461639676,Male,62.0,Secondary,5,1,,1,1,0,,1,0,1.0,,1,3.0,
2017,176967209,0.865309997960482,Female,20.0,Primary or less,5,1,,0,0,0,,0,0,0.0,,4,5.0,
2017,146361243,1.03633167323627,Male,21.0,Primary or less,5,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,166493839,0.725029509644072,Male,28.0,Primary or less,3,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,183383242,1.43521144568816,Male,38.0,Primary or less,1,0,,1,1,0,,1,1,1.0,,4,1.0,
2017,178715883,0.786695605811408,Male,40.0,Secondary,3,1,,1,1,1,,1,0,1.0,,4,1.0,
2017,205095422,1.83105943854804,Male,34.0,Primary or less,5,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,133963792,0.733695893503116,Female,15.0,Secondary,5,0,,0,0,0,,1,1,0.0,,4,3.0,
2017,152911118,0.403228310029124,Female,25.0,Secondary,4,0,,1,1,1,,0,0,1.0,,4,1.0,
2017,170035349,0.7648049874611,Female,18.0,Primary or less,2,0,,0,0,0,,0,1,0.0,,4,5.0,
2017,145308500,1.58470617134833,Female,52.0,Primary or less,1,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,127202457,0.546871680839914,Male,32.0,Secondary,3,1,,1,1,1,,0,0,1.0,,4,1.0,
2017,182655100,0.86732347623627,Female,17.0,Secondary,4,0,,0,0,0,,0,0,1.0,,4,2.0,
2017,142878749,1.11700535400161,Female,29.0,Primary or less,4,1,,0,0,0,,1,1,1.0,,4,3.0,
2017,197584477,0.52911670694894,Female,41.0,Tertiary+,3,1,,1,1,0,,1,0,1.0,,4,5.0,
2017,158781547,1.30692443681883,Female,40.0,Primary or less,1,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,192457791,1.46892610790174,Female,54.0,Secondary,5,1,,0,0,0,,1,0,1.0,,4,5.0,
2017,134199941,1.13107041689524,Male,42.0,Secondary,3,1,,1,1,0,,1,1,1.0,,4,1.0,
2017,157404076,2.12066787396729,Female,29.0,Primary or less,3,1,,1,1,0,,0,0,1.0,,4,5.0,
2017,170233367,0.290594591450477,Male,36.0,Secondary,5,1,,1,1,1,,1,1,1.0,,4,1.0,
2017,173017074,0.305505988261817,Female,20.0,Secondary,3,1,,0,0,0,,0,1,1.0,,4,2.0,
2017,198099902,0.403228310029124,Female,30.0,Secondary,3,0,,1,1,0,,1,0,1.0,,4,1.0,
2017,156811519,0.290594591450477,Male,30.0,Secondary,5,1,,1,1,0,,1,1,1.0,,4,1.0,
2017,195655199,2.20658879997486,Male,21.0,Primary or less,4,1,,1,0,1,,1,0,1.0,,4,5.0,
2017,199522726,1.22722405817179,Male,18.0,Secondary,4,0,,0,0,0,,1,0,1.0,,4,3.0,
2017,171515030,0.504152898004355,Female,26.0,Secondary,3,1,,0,0,0,,1,0,1.0,,4,5.0,
2017,170646922,0.528235390449443,Female,45.0,Primary or less,2,1,,0,0,0,,0,0,1.0,,4,2.0,
2017,144193534,0.290594591450477,Female,70.0,Tertiary+,5,1,,0,0,0,,0,1,1.0,,4,2.0,
2017,145536908,0.932585145037451,Male,17.0,Secondary,3,0,,1,1,1,,1,1,1.0,,4,1.0,
2017,173196853,0.39840820060214,Male,41.0,Primary or less,5,1,,1,1,0,,0,0,1.0,,4,2.0,
2017,194205341,0.605664094650153,Female,17.0,Secondary,3,1,,0,0,0,,0,1,1.0,,4,3.0,
2017,153871619,0.290594591450477,Female,30.0,Tertiary+,4,1,,1,0,1,,1,0,1.0,,4,1.0,
2017,182347179,1.24731032424402,Male,21.0,Secondary,1,1,,1,0,1,,1,0,1.0,,4,1.0,
2017,173252638,0.290594591450477,Female,43.0,Primary or less,5,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,123692422,0.834048527485955,Female,48.0,Secondary,3,1,,0,0,0,,1,0,1.0,,4,2.0,
2017,125179237,0.328493755996689,Male,16.0,Secondary,5,1,,0,0,0,,0,1,0.0,,4,2.0,
2017,192502710,0.602638818845395,Female,52.0,Secondary,5,1,,1,1,1,,1,1,1.0,,1,1.0,
2017,177012667,1.82528716791336,Female,35.0,Primary or less,4,0,,0,0,0,,1,0,1.0,,4,3.0,
2017,142749601,0.733695893503116,Female,16.0,Secondary,5,1,,1,1,0,,1,0,1.0,,4,5.0,
2017,202374362,0.439352541142944,Male,22.0,Secondary,4,1,,1,0,1,,1,1,1.0,,4,2.0,
2017,155987321,2.37681587018966,Male,78.0,Primary or less,3,0,,0,0,0,,0,1,1.0,,4,3.0,
2017,201984730,1.10054384025467,Female,22.0,Secondary,4,0,,1,1,0,,1,0,1.0,,4,3.0,
2017,172306837,1.08415434529534,Female,22.0,Secondary,1,1,,1,1,0,,1,1,1.0,,4,1.0,
2017,154646802,0.29788061745408,Male,39.0,Secondary,4,1,,1,1,0,,0,0,1.0,,4,5.0,
2017,124302905,0.311827581061005,Male,18.0,Secondary,1,0,,0,0,0,,0,0,1.0,,4,3.0,
2017,172076971,0.709897332709107,Male,33.0,Primary or less,5,0,,0,0,0,,0,1,1.0,,4,2.0,
2017,204221507,0.290594591450477,Female,26.0,Secondary,5,0,,1,0,1,,1,1,1.0,,4,1.0,
2017,127691965,2.78220033334623,Male,57.0,Primary or less,2,1,,1,1,0,,1,0,1.0,,4,2.0,
2017,137870621,0.589871606196412,Female,43.0,Secondary,2,0,,0,0,0,,1,0,1.0,,4,2.0,
2017,199394822,1.63629874422906,Male,15.0,Primary or less,5,0,,0,0,0,,1,0,0.0,,4,2.0,
2017,186650930,2.04537343028632,Male,15.0,Primary or less,3,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,164237540,0.290594591450477,Male,60.0,Tertiary+,5,0,,1,1,1,,0,1,1.0,,4,6.0,
2017,150902475,1.3910115677118,Female,31.0,Primary or less,5,0,,0,0,0,,0,0,0.0,,4,5.0,
2017,166668308,0.865309997960482,Female,19.0,Primary or less,5,0,,0,0,0,,1,0,0.0,,4,5.0,
2017,191073422,0.910854618578778,Male,32.0,Secondary,4,1,,1,1,0,,1,1,1.0,,4,2.0,
2017,137622919,0.792787215169855,Female,30.0,Primary or less,3,1,,0,0,0,,0,1,1.0,,4,5.0,
2017,185646530,0.290594591450477,Female,28.0,Secondary,3,0,,1,1,1,,0,1,1.0,,1,1.0,
2017,149352557,0.293785221580348,Female,54.0,Secondary,5,0,,1,1,0,,1,0,1.0,,5,5.0,
2017,133397282,0.341502806631555,Male,50.0,Secondary,1,1,,1,1,0,,1,1,1.0,,4,5.0,
2017,183003636,1.41462187200898,Male,51.0,Primary or less,3,1,,0,0,0,,1,0,1.0,,4,4.0,
2017,138681472,0.68605092692134,Female,61.0,Primary or less,1,0,,0,0,0,,0,0,0.0,,4,5.0,
2017,188549663,0.409074686057264,Male,24.0,Primary or less,5,1,,1,0,1,,0,0,1.0,,4,1.0,
2017,160071443,0.559420664068763,Male,20.0,Secondary,5,1,,0,0,0,,1,1,1.0,,4,3.0,
2017,205482200,0.616821806007877,Female,58.0,Secondary,2,1,,1,1,0,,1,1,1.0,,1,1.0,
2017,131170178,0.593738923279351,Male,73.0,Secondary,5,1,,1,1,0,,1,0,1.0,,1,1.0,
2017,118497186,0.466292572518726,Male,19.0,Secondary,2,1,,0,0,0,,0,1,0.0,,4,5.0,
2017,146690884,1.9920410030107,Male,42.0,Secondary,1,1,,1,1,0,,1,0,1.0,,4,1.0,
2017,139549725,1.87550243786153,Female,60.0,Secondary,3,0,,1,1,1,,1,1,1.0,,4,4.0,
2017,134624011,1.42226065099913,Female,23.0,Secondary,4,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,119053268,2.78220033334623,Male,21.0,Primary or less,1,1,,0,0,0,,1,1,0.0,,4,5.0,
2017,207811202,2.78220033334623,Female,30.0,Primary or less,1,1,,0,0,0,,1,1,1.0,,4,6.0,
2017,192775064,0.589718989408978,Female,30.0,Secondary,5,1,,1,1,0,,1,1,1.0,,4,5.0,
2017,166123045,0.973840280836975,Female,59.0,Primary or less,4,0,,1,0,1,,0,0,1.0,,4,1.0,
2017,155347910,1.91201246865275,Female,17.0,Primary or less,2,1,,0,0,0,,1,1,0.0,,4,5.0,
2017,117909638,1.83423973375779,Female,19.0,Secondary,4,1,,1,1,1,,1,0,1.0,,4,1.0,
2017,180424312,2.48407518098286,Male,37.0,Primary or less,4,1,,1,1,0,,1,0,1.0,,4,2.0,
2017,121555306,0.789898822516014,Female,48.0,Primary or less,4,1,,1,0,1,,1,1,0.0,,4,1.0,
2017,153836060,1.76955169034097,Female,,,5,1,,1,1,1,,1,1,1.0,,4,1.0,
2017,160282905,2.69394879677188,Female,23.0,Primary or less,3,1,,0,0,0,,0,1,1.0,,4,2.0,
2017,205949165,1.91201246865275,Female,16.0,Primary or less,1,0,,0,0,0,,0,0,0.0,,4,5.0,
2017,198154580,0.290594591450477,Female,32.0,Secondary,5,1,,1,1,0,,1,1,1.0,,4,1.0,
2017,185920127,0.550910270106161,Female,80.0,Primary or less,3,0,,0,0,0,,0,0,1.0,,4,5.0,
2017,143701521,0.568904260399652,Female,21.0,Secondary,4,1,,0,0,0,,0,0,1.0,,4,3.0,
2017,112085523,0.339543966413068,Male,41.0,Secondary,5,1,,1,1,0,,1,0,1.0,,4,1.0,
2017,121539846,0.290594591450477,Male,72.0,Secondary,5,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,141810300,1.42226065099913,Female,17.0,Secondary,5,1,,1,1,1,,1,1,1.0,,4,1.0,
2017,113921665,0.290594591450477,Female,25.0,Secondary,4,1,,0,0,0,,1,1,1.0,,4,2.0,
2017,124191738,2.78220033334623,Female,30.0,Primary or less,1,0,,0,0,0,,0,0,0.0,,4,5.0,
2017,119129192,2.74969253983874,Male,22.0,Primary or less,1,1,,1,0,1,,1,1,0.0,,4,1.0,
2017,134156875,1.33396758630301,Male,36.0,Primary or less,3,1,,0,0,0,,0,1,1.0,,4,5.0,
2017,206797364,1.12331651995018,Male,20.0,Secondary,5,0,,0,0,0,,0,0,1.0,,4,5.0,
2017,170740919,1.1420988860396,Female,18.0,Secondary,4,0,,0,0,0,,0,1,1.0,,4,2.0,
2017,145536767,2.40271854990126,Male,43.0,Primary or less,3,1,,0,0,0,,0,0,1.0,,4,5.0,
2017,182850095,0.498688390037037,Male,42.0,Primary or less,5,1,,0,0,0,,1,1,1.0,,4,5.0,
2017,147319344,2.78220033334623,Male,36.0,Primary or less,3,1,,1,1,0,,1,1,1.0,,4,1.0,
2017,142681044,1.3910115677118,Female,31.0,Primary or less,4,1,,1,1,1,,1,1,1.0,,4,1.0,
2017,122029320,1.09374336167983,Male,30.0,Secondary,4,1,,1,1,0,,1,1,1.0,,4,3.0,
2017,148133102,0.290594591450477,Male,24.0,Secondary,3,0,,0,0,0,,0,0,1.0,,4,5.0,
2017,113003954,0.311827581061005,Male,19.0,Secondary,3,1,,1,0,1,,1,1,1.0,,4,5.0,
